Date,Weekday,Time,Trip ID,Passengers,Pickup Location,Dropoff Location,Distance,Fare
2025-01-01,Wednesday,00:48:55,TRP100059,2,Panvel,Borivali,7.17,177.24
2025-01-01,Wednesday,04:17:15,TRP100001,2,Goregaon,Dadar,17.09,304.23
2025-01-01,Wednesday,04:47:59,TRP100045,3,Worli,Thane,23.39,392.11
2025-01-01,Wednesday,05:24:20,TRP100070,1,Malad,Navi Mumbai,19.61,351.46
2025-01-01,Wednesday,06:24:00,TRP100029,4,Vikhroli,Juhu,20.4,352.19
2025-01-01,Wednesday,06:32:05,TRP100032,2,Powai,Bandra,17.05,247.6
2025-01-01,Wednesday,06:46:21,TRP100026,1,Borivali,Goregaon,13.55,198.55
2025-01-01,Wednesday,07:14:04,TRP100022,2,Worli,Andheri East,7.37,129.19
2025-01-01,Wednesday,07:32:42,TRP100056,1,Chembur,Lower Parel,21.58,430.11
2025-01-01,Wednesday,08:59:56,TRP100024,1,Churchgate,Airport Terminal 1,12.14,198.25
2025-01-01,Wednesday,09:02:46,TRP100005,1,Navi Mumbai,CST Station,26.22,338.75
2025-01-01,Wednesday,09:02:51,TRP100010,1,Worli,Vikhroli,7.03,225.71
2025-01-01,Wednesday,09:12:09,TRP100057,1,Andheri East,Andheri West,12.18,225.73
2025-01-01,Wednesday,09:16:08,TRP100036,3,Kurla,Bandra,9.99,236.65
2025-01-01,Wednesday,09:17:44,TRP100008,1,Ghatkopar,Chembur,15.97,258.32
2025-01-01,Wednesday,09:30:42,TRP100073,4,Borivali,Churchgate,11.97,187.01
2025-01-01,Wednesday,09:37:27,TRP100012,1,Churchgate,Vikhroli,33.37,430.15
2025-01-01,Wednesday,09:40:54,TRP100039,1,Juhu,Airport Terminal 2,25.31,425.48
2025-01-01,Wednesday,10:41:31,TRP100011,1,Vikhroli,Chembur,8.0,137.87
2025-01-01,Wednesday,10:41:32,TRP100048,4,Vikhroli,Ghatkopar,13.55,252.68
2025-01-01,Wednesday,10:48:57,TRP100061,3,Navi Mumbai,Lower Parel,24.65,545.62
2025-01-01,Wednesday,10:48:59,TRP100035,1,Bandra,Andheri East,33.76,579.5
2025-01-01,Wednesday,11:09:13,TRP100004,1,Panvel,Worli,10.2,170.51
2025-01-01,Wednesday,12:01:05,TRP100002,1,Malad,Goregaon,2.97,90.75
2025-01-01,Wednesday,12:17:02,TRP100040,2,Andheri East,Worli,16.03,284.79
2025-01-01,Wednesday,12:39:47,TRP100044,3,Dadar,Goregaon,30.14,740.58
2025-01-01,Wednesday,12:40:36,TRP100058,2,Malad,Mulund,12.61,232.91
2025-01-01,Wednesday,13:10:47,TRP100062,1,Airport Terminal 1,Navi Mumbai,7.68,178.76
2025-01-01,Wednesday,13:17:59,TRP100009,2,Chembur,Mulund,17.31,364.03
2025-01-01,Wednesday,13:28:43,TRP100055,1,Malad,Airport Terminal 2,25.1,416.0
2025-01-01,Wednesday,13:35:15,TRP100060,1,Borivali,Navi Mumbai,11.96,203.32
2025-01-01,Wednesday,13:55:59,TRP100027,3,Bandra,Navi Mumbai,23.05,365.8
2025-01-01,Wednesday,14:24:21,TRP100068,2,Ghatkopar,Vikhroli,22.42,779.4
2025-01-01,Wednesday,15:08:09,TRP100064,2,Goregaon,Vikhroli,17.94,243.1
2025-01-01,Wednesday,15:12:09,TRP100017,1,Kurla,Panvel,28.21,720.63
2025-01-01,Wednesday,15:17:49,TRP100015,1,Chembur,Worli,11.32,342.36
2025-01-01,Wednesday,15:40:15,TRP100063,1,Juhu,Navi Mumbai,8.38,143.56
2025-01-01,Wednesday,15:58:25,TRP100069,1,Churchgate,Ghatkopar,16.18,228.96
2025-01-01,Wednesday,16:00:05,TRP100028,1,Panvel,Goregaon,12.41,189.77
2025-01-01,Wednesday,16:14:28,TRP100003,3,Churchgate,Juhu,1.88,81.91
2025-01-01,Wednesday,16:25:35,TRP100054,1,Andheri East,Colaba,11.22,235.15
2025-01-01,Wednesday,16:26:03,TRP100065,1,Malad,Thane,19.89,352.88
2025-01-01,Wednesday,16:27:35,TRP100041,1,Andheri East,Borivali,24.23,416.04
2025-01-01,Wednesday,17:14:04,TRP100023,1,Andheri West,Worli,7.51,147.73
2025-01-01,Wednesday,17:22:27,TRP100025,3,Thane,Navi Mumbai,3.9,114.77
2025-01-01,Wednesday,17:29:33,TRP100014,3,Juhu,CST Station,2.23,87.08
2025-01-01,Wednesday,17:31:01,TRP100018,3,Borivali,Kurla,22.08,316.83
2025-01-01,Wednesday,17:32:07,TRP100050,1,Vikhroli,Churchgate,3.61,87.58
2025-01-01,Wednesday,17:35:10,TRP100020,3,Juhu,Airport Terminal 2,11.08,173.61
2025-01-01,Wednesday,17:42:54,TRP100052,3,Borivali,Vashi,12.89,224.77
2025-01-01,Wednesday,17:47:45,TRP100074,3,Borivali,Panvel,29.08,375.6
2025-01-01,Wednesday,17:49:41,TRP100072,1,Andheri West,Panvel,7.68,188.05
2025-01-01,Wednesday,17:56:55,TRP100006,1,Kurla,Churchgate,4.32,122.16
2025-01-01,Wednesday,18:03:47,TRP100031,1,Worli,Andheri West,12.22,230.59
2025-01-01,Wednesday,18:12:45,TRP100021,4,Colaba,Vikhroli,16.37,255.93
2025-01-01,Wednesday,18:35:08,TRP100053,2,Malad,Thane,10.19,190.21
2025-01-01,Wednesday,18:39:51,TRP100037,1,Chembur,Airport Terminal 2,21.53,370.87
2025-01-01,Wednesday,18:50:35,TRP100030,1,Ghatkopar,Mulund,6.65,120.39
2025-01-01,Wednesday,19:06:24,TRP100046,1,Andheri West,Airport Terminal 1,21.51,326.12
2025-01-01,Wednesday,19:14:14,TRP100047,1,Andheri East,Ghatkopar,9.19,325.45
2025-01-01,Wednesday,19:43:46,TRP100051,1,Vashi,Ghatkopar,11.25,390.82
2025-01-01,Wednesday,19:55:07,TRP100013,1,Dadar,Chembur,17.2,280.49
2025-01-01,Wednesday,20:05:05,TRP100019,3,Vashi,Airport Terminal 1,30.33,454.41
2025-01-01,Wednesday,20:15:37,TRP100033,2,Lower Parel,Andheri West,11.0,193.1
2025-01-01,Wednesday,20:16:32,TRP100016,1,Panvel,Powai,5.15,169.13
2025-01-01,Wednesday,20:16:53,TRP100071,1,Bandra,Airport Terminal 1,13.63,258.07
2025-01-01,Wednesday,20:34:47,TRP100067,2,Vashi,CST Station,24.93,375.09
